id,model,mle
ENSG00000150637,JTT,0
ENSG00000150637,WAG,0
ENSG00000151577,JTT,0
ENSG00000151577,WAG,0
ENSG00000151617,JTT,4.11859480772
ENSG00000151617,WAG,4.01381550276
ENSG00000153563,JTT,1.57056708266
ENSG00000153563,WAG,1.2710904094
ENSG00000154165,JTT,0
ENSG00000154165,WAG,0
ENSG00000154309,JTT,0
ENSG00000154309,WAG,0
ENSG00000155249,JTT,0
ENSG00000155249,WAG,0
ENSG00000156097,JTT,0
ENSG00000156097,WAG,0
ENSG00000157219,JTT,1.32990264759
ENSG00000157219,WAG,0.99680028072
ENSG00000158869,JTT,0
ENSG00000158869,WAG,0
ENSG00000159164,JTT,0
ENSG00000159164,WAG,0
ENSG00000159346,JTT,0
ENSG00000159346,WAG,0
ENSG00000160654,JTT,0.663168976831
ENSG00000160654,WAG,0.583085221655
ENSG00000161649,JTT,0.343813275955
ENSG00000161649,WAG,0.383595399513
ENSG00000161911,JTT,0
ENSG00000161911,WAG,0
ENSG00000162594,JTT,0.806389033177
ENSG00000162594,WAG,0.599908106973
ENSG00000163485,JTT,4.31143365194
ENSG00000163485,WAG,4.49866667294
ENSG00000163702,JTT,7.0625404713
ENSG00000163702,WAG,8.3832366921
ENSG00000163914,JTT,0
ENSG00000163914,WAG,0
ENSG00000164128,JTT,3.49265395378
ENSG00000164128,WAG,2.92170901825
ENSG00000164251,JTT,0.341091481607
ENSG00000164251,WAG,0.378066913375
ENSG00000164342,JTT,3.4310574316
ENSG00000164342,WAG,3.5587386603
ENSG00000164604,JTT,0
ENSG00000164604,WAG,0
ENSG00000164849,JTT,3.10810281559
ENSG00000164849,WAG,2.03358490352
ENSG00000164930,JTT,0
ENSG00000164930,WAG,0
ENSG00000165029,JTT,0
ENSG00000165029,WAG,0
ENSG00000165202,JTT,1.4315497925
ENSG00000165202,WAG,1.26822167279
ENSG00000165370,JTT,0.968201779658
ENSG00000165370,WAG,1.10335427586
ENSG00000165621,JTT,0
ENSG00000165621,WAG,0
ENSG00000166148,JTT,0
ENSG00000166148,WAG,0
ENSG00000166160,JTT,0
ENSG00000166160,WAG,0
ENSG00000166603,JTT,0
ENSG00000166603,WAG,0
ENSG00000166856,JTT,2.99652738811
ENSG00000166856,WAG,3.10815399236
ENSG00000166884,JTT,4.87187802155
ENSG00000166884,WAG,4.13659638623
ENSG00000167286,JTT,4.94660019969
ENSG00000167286,WAG,5.05665594985
ENSG00000167359,JTT,0
ENSG00000167359,WAG,0
ENSG00000167822,JTT,2.95725399336
ENSG00000167822,WAG,2.72765122616
ENSG00000168079,JTT,2.1380968955
ENSG00000168079,WAG,2.32905758281
ENSG00000168229,JTT,0
ENSG00000168229,WAG,0
ENSG00000168539,JTT,0
ENSG00000168539,WAG,0
ENSG00000168575,JTT,0.850662037858
ENSG00000168575,WAG,0.970785230902
ENSG00000168685,JTT,0.171263662354
ENSG00000168685,WAG,0.161584843363
ENSG00000168758,JTT,0
ENSG00000168758,WAG,0
ENSG00000169208,JTT,8.17794700541
ENSG00000169208,WAG,5.6770519661
ENSG00000169252,JTT,3.97538363543
ENSG00000169252,WAG,3.62091528129
ENSG00000169313,JTT,1.3123506033
ENSG00000169313,WAG,1.69239555823
ENSG00000169618,JTT,0
ENSG00000169618,WAG,0
ENSG00000169836,JTT,2.92170901825
ENSG00000169836,WAG,2.0890432217
ENSG00000169860,JTT,0
ENSG00000169860,WAG,0
ENSG00000170075,JTT,0
ENSG00000170075,WAG,0
ENSG00000170214,JTT,8.92036882431
ENSG00000170214,WAG,7.52429022146
ENSG00000170775,JTT,0
ENSG00000170775,WAG,0
ENSG00000170820,JTT,4.57974849362
ENSG00000170820,WAG,4.27080099701
ENSG00000171014,JTT,13.5822207671
ENSG00000171014,WAG,12.5314182021
ENSG00000171517,JTT,4.5098025262
ENSG00000171517,WAG,4.97313923824
ENSG00000171631,JTT,2.18474233107
ENSG00000171631,WAG,2.77721026786
ENSG00000171657,JTT,7.57240765435
ENSG00000171657,WAG,6.72404927708
ENSG00000171860,JTT,2.36740484844
ENSG00000171860,WAG,2.49647748225
ENSG00000172209,JTT,0
ENSG00000172209,WAG,0
ENSG00000172215,JTT,0.287300249146
ENSG00000172215,WAG,0.226257826703
ENSG00000172243,JTT,0.668050464391
ENSG00000172243,WAG,0.701890883121
ENSG00000172289,JTT,0
ENSG00000172289,WAG,0
ENSG00000172377,JTT,1696.8238342
ENSG00000172377,WAG,613.842788451
ENSG00000172381,JTT,2.92170901825
ENSG00000172381,WAG,2.27406359276
ENSG00000172935,JTT,1.2602930635
ENSG00000172935,WAG,1.44281456506
ENSG00000173391,JTT,0.708141873384
ENSG00000173391,WAG,0.565982261686
ENSG00000173402,JTT,0
ENSG00000173402,WAG,0
ENSG00000173578,JTT,0
ENSG00000173578,WAG,0
ENSG00000173612,JTT,0
ENSG00000173612,WAG,0
ENSG00000173890,JTT,1.18315660567
ENSG00000173890,WAG,1.26248873125
ENSG00000174343,JTT,0
ENSG00000174343,WAG,0
ENSG00000174417,JTT,0
ENSG00000174417,WAG,0
ENSG00000174804,JTT,0
ENSG00000174804,WAG,0
ENSG00000174944,JTT,0.357424141005
ENSG00000174944,WAG,0.385331749943
ENSG00000174946,JTT,0
ENSG00000174946,WAG,0
ENSG00000174948,JTT,2.81702296029
ENSG00000174948,WAG,2.82650348713
ENSG00000175591,JTT,4.75989387345
ENSG00000175591,WAG,4.36259516789
ENSG00000175898,JTT,3.73163300571
ENSG00000175898,WAG,3.69036762305
ENSG00000176299,JTT,9.40082040658
ENSG00000176299,WAG,6.97986184938
ENSG00000176893,JTT,2.91842067057
ENSG00000176893,WAG,3.58908550975
ENSG00000177535,JTT,0
ENSG00000177535,WAG,0
ENSG00000178394,JTT,0
ENSG00000178394,WAG,0
ENSG00000179097,JTT,0
ENSG00000179097,WAG,0
ENSG00000179546,JTT,2.30983114922
ENSG00000179546,WAG,2.37667681408
ENSG00000180245,JTT,1.4202333398
ENSG00000180245,WAG,1.55447602542
ENSG00000180269,JTT,0
ENSG00000180269,WAG,0
ENSG00000180616,JTT,0.783034164973
ENSG00000180616,WAG,0.856492864645
ENSG00000180708,JTT,5.79905973185
ENSG00000180708,WAG,4.52379613426
ENSG00000180988,JTT,0
ENSG00000180988,WAG,0
ENSG00000181072,JTT,0
ENSG00000181072,WAG,0
ENSG00000181773,JTT,0
ENSG00000181773,WAG,0
ENSG00000181803,JTT,7.39608408311
ENSG00000181803,WAG,6.99286166393
ENSG00000181927,JTT,0
ENSG00000181927,WAG,0
ENSG00000182749,JTT,1.45028779999
ENSG00000182749,WAG,1.50406637874
ENSG00000182854,JTT,14.4768679611
ENSG00000182854,WAG,9.51399349793
ENSG00000182974,JTT,9.1633085315
ENSG00000182974,WAG,6.77066813966
ENSG00000183150,JTT,0
ENSG00000183150,WAG,0
ENSG00000183625,JTT,1.01638902843
ENSG00000183625,WAG,1.13150199215
ENSG00000183671,JTT,0
ENSG00000183671,WAG,0
ENSG00000183813,JTT,0.560132185368
ENSG00000183813,WAG,0.669956568083
ENSG00000183840,JTT,0.91500850239
ENSG00000183840,WAG,0.618105052857
ENSG00000184140,JTT,3.26350098939
ENSG00000184140,WAG,3.23586656876
ENSG00000184194,JTT,0
ENSG00000184194,WAG,0
ENSG00000184394,JTT,0
ENSG00000184394,WAG,0
ENSG00000184574,JTT,0
ENSG00000184574,WAG,0
ENSG00000184845,JTT,2.42208310937
ENSG00000184845,WAG,3.01963242842
ENSG00000184933,JTT,14.1026326459
ENSG00000184933,WAG,17.8296991359
ENSG00000184984,JTT,1.06084182933
ENSG00000184984,WAG,0.914221552634
ENSG00000185231,JTT,5.92354382769
ENSG00000185231,WAG,4.3162823884
ENSG00000186188,JTT,4.36268856234
ENSG00000186188,WAG,4.47369073754
ENSG00000186306,JTT,13.6092656393
ENSG00000186306,WAG,11.2228982587
ENSG00000186513,JTT,1854.32454591
ENSG00000186513,WAG,1029.15225367
ENSG00000186943,JTT,4.66888436502
ENSG00000186943,WAG,5.43711674093
ENSG00000187037,JTT,0
ENSG00000187037,WAG,0
ENSG00000187918,JTT,0
ENSG00000187918,WAG,0
ENSG00000188340,JTT,0
ENSG00000188340,WAG,0
ENSG00000188778,JTT,6.97598519299
ENSG00000188778,WAG,6.82847924663
ENSG00000188822,JTT,0
ENSG00000188822,WAG,0
ENSG00000189143,JTT,0
ENSG00000189143,WAG,0
ENSG00000196639,JTT,1.84132293944
ENSG00000196639,WAG,1.91015691159
ENSG00000197309,JTT,0
ENSG00000197309,WAG,0
ENSG00000197403,JTT,1.39088940385
ENSG00000197403,WAG,1.21080579143
ENSG00000198049,JTT,2.23144665092
ENSG00000198049,WAG,2.22109477974
ENSG00000198104,JTT,0
ENSG00000198104,WAG,0
ENSG00000198785,JTT,0
ENSG00000198785,WAG,0
ENSG00000198851,JTT,0.986255886557
ENSG00000198851,WAG,1.33997519456
ENSG00000198967,JTT,1.01405330533
ENSG00000198967,WAG,0.720285157773
ENSG00000204174,JTT,4.49866667294
ENSG00000204174,WAG,5.83367806827
ENSG00000204305,JTT,1.5090270268
ENSG00000204305,WAG,1.99598862579
ENSG00000204420,JTT,0.316682287647
ENSG00000204420,WAG,0.33814365982
ENSG00000204475,JTT,3.56756512552
ENSG00000204475,WAG,5.45041074725
ENSG00000204695,JTT,2.39133058552
ENSG00000204695,WAG,1.78259455436
ENSG00000213694,JTT,1.93232777046
ENSG00000213694,WAG,2.25161470629
ENSG00000258227,JTT,0.984220969725
ENSG00000258227,WAG,1.17544521383
